subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,cost
2,19,-0.849262896652538,3.99818992339034,1.19,0.05,7.99276133175004
2,20,-1.0664847404865,4.22649592910777,1.48,0.29,8.93163391938228
2,21,-1.40073735307662,3.8127533241489,1.76,0.23,7.26854395540425
2,22,0.702557717722412,4.24014219844109,2.62,0.36,8.98940293150043
2,23,0.935307596286058,4.03181595920998,1.79,0.15,8.12776996447016
2,24,1.92947576449135,4.89091819401597,1.82,0.28,11.9605403902782
2,25,2.38753227076716,5.27970559061468,1.63,0.14,13.937645561784
2,26,1.89564271457464,5.28531675609317,1.52,0.37,13.9672866061196
2,27,2.6805790274645,5.35597896588149,1.59,0.26,14.3432553414825
2,28,3.30014913664323,5.87580178264845,1.41,0.24,17.2625232944873
2,29,2.7129774059488,5.91082636028162,1.44,0.17,17.4689341307
2,30,2.55520021498519,5.9791503587918,1.58,0.19,17.87511950652
3,1,-1.45714358617722,3.83347314785613,2.01,0.42,7.34775818766701
3,2,-0.820267950068106,3.35427445131997,2.13,0.24,5.62557854738893
3,3,-1.09946880462525,4.16413688560985,2.57,0.32,8.67001800104825
3,4,-0.0581776286057914,4.109115082044,2.39,0.7,8.44241337874073
3,5,-1.49203498693405,4.35480742752587,2.84,0.7,9.48217386541724
3,6,-0.727194882579129,3.37712022432357,2.57,0.39,5.70247050476764
3,7,-0.936605248742657,4.35803520903881,2.58,0.32,9.49623544161099
3,8,-0.738829160463022,3.68394650751176,2.54,0.36,6.78573093510405
3,9,-0.872620321864176,3.400504721792,2.12,0.19,5.78171618146485
3,10,-1.39608193617844,3.63676343157226,2.26,0.21,6.61302412861061
3,11,-1.38735867108734,3.66767913123681,2.63,0.39,6.725935104855
3,12,-1.68392423645567,3.42986375976064,2.31,0.44,5.8819827052597
3,13,-1.64176877927098,3.18822256671242,1.9,0.36,5.08238156744716
3,14,-0.244345122701228,3.34176154709384,2.51,0.21,5.5836851188175
3,15,-0.820267950068099,3.24378324941275,2.81,0.47,5.26106488458536
3,16,-1.14309106141996,3.43964822869403,2.17,0.19,5.915589968579
3,17,-0.218165464237329,3.66767913123681,2.61,0.63,6.725935104855
3,18,-0.11344630404199,3.06883632053257,2.45,0.42,4.70887818110993
3,19,-1.40771289010074,2.93731318714209,2.72,0.62,4.31390437967941
3,20,-0.820267950068099,3.95032212553743,2.22,0.49,7.80252244775527
3,21,-0.986047101345825,3.87243985044981,2.7,0.41,7.49789519767587
3,22,-1.07329504652151,3.56133076706237,2,0.45,6.34153841621252
3,23,-0.655934094727954,4.17060763824483,2.65,0.3,8.69698403609305
3,24,-1.10819332403072,4.21265510835726,2.31,0.14,8.87323153098426
3,25,-1.68392423645567,4.14094586101001,2.53,0.22,8.57371631190799
3,26,-1.30884741539366,4.42901264163923,2.65,0.34,9.80807648990004
3,27,-1.36118862330877,4.11451098375589,2.45,0.32,8.46460031772394
3,28,-1.13872887436547,4.30798973820985,2.56,0.24,9.27938779226068
3,29,-0.750463398336177,4.13501223121736,2.34,0.37,8.54916307615859
3,30,-0.637027941794408,4.08644850332515,2.15,0.11,8.3495306851642
