subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
2,33,3.81,4.52,5.19,0.33,2.17,17.46
2,34,2.54,4.03,6.06,0.39,2.18,11.34
2,35,1.8,3.92,5.92,0.25,2.22,9.31
2,36,0.05,3.58,5.67,0.25,2.25,6.41
2,37,3.38,4.2,6.28,0.29,2.24,14.55
2,38,0.63,3.67,5,0.27,2.2,6.92
2,39,2.59,3.75,5.21,0.24,2.14,10.4
2,40,4.17,4.31,4.55,0.08,2.1,17.99
2,41,4.54,4.07,4.17,0.32,2.11,18.61
2,42,9.98,4.54,3.7,0.08,2.16,60.11
2,43,9.77,4.31,4.36,0.15,2.22,57.03
2,44,5.91,4.33,4.43,0.42,2.26,26.84
2,45,5.39,3.99,3.76,0.62,2.26,22.45
2,46,3.38,3.71,4.25,0.32,2.22,12.6
2,47,7.48,4.26,4.22,0.3,2.16,37.09
2,48,10.34,4.39,4.42,0.3,2.12,63.13
2,49,7.38,3.09,4.42,0.23,2.15,31.98
2,50,4.39,3.13,4.57,0.37,2.22,14.51
2,51,4.86,3.54,4.37,0.4,2.34,18.06
2,52,4.28,3.9,4.23,0.36,2.46,16.77
2,53,4.81,3.99,5.48,0.29,2.53,19.5
2,54,3.07,4.09,5.09,0.19,2.54,13.08
2,55,0.95,3.73,5.74,0.25,2.54,7.41
2,56,0.63,3.45,4.9,0.37,2.54,6.16
2,57,1.48,3.58,5.57,0.37,2.56,7.51
2,58,-0.58,3.15,5.27,0.11,2.6,5.13
2,59,0.48,3.52,6.27,0.28,2.6,6.29
2,60,-1.48,3.15,5.36,0.23,2.6,6.06
2,61,0.85,3.82,6.38,0.08,2.6,7.64
2,62,0.53,3.45,4.88,0.39,2.6,6.1
2,63,0.74,3.73,5.47,0.23,2.54,7.23
2,64,0.37,4.07,4.06,0.23,2.46,8.36
2,65,2.54,3.43,4.85,0.3,2.44,9.1
2,66,4.54,3.99,5.69,0.34,2.46,18.27
2,67,-1.9,3.21,4.97,0.17,2.49,6.98
2,68,4.12,4.05,5.65,0.28,2.51,16.7
2,69,3.65,4.2,6.15,0.27,2.5,15.47
2,70,-0.63,3.11,4.74,0.32,2.45,5.03
2,71,3.96,4.2,5.35,0.32,2.37,16.68
2,72,2.12,3.9,6.15,0.34,2.33,9.85
2,73,1.01,3.58,5.53,0.33,2.33,6.91
2,74,2.38,3.54,4.59,0.25,2.38,9.09
2,75,2.43,4.12,6.68,0.42,2.44,11.43
2,76,-2.17,3.19,5.05,0.33,2.5,7.45
2,77,1.96,4.03,5.64,0.14,2.51,10.04
2,78,0.26,3.32,4.51,0.24,2.47,5.55
2,79,2.33,3.58,4.19,0.36,2.42,9.12
2,80,5.12,3.84,4.68,0.16,2.38,20.48
3,1,16.54,5.54,5.95,0.28,1,152.04
3,2,12.84,6.83,4.12,0.32,1.02,105.69
3,3,12.25,11.7,3.42,0.8,1.02,143.51
3,4,11.99,6.11,3.85,0.27,1.04,90.53
3,5,12.04,6.63,3.91,0.44,1.04,94.53
3,6,13.47,6.26,3.76,0.29,1,110.3
3,7,13.52,6.58,4.27,0.26,0.94,113.01
3,8,12.78,4.19,4.25,0.42,0.9,90.49
3,9,13.05,5.75,3.89,0.43,0.97,101.65
3,10,10.98,6.56,3,0.2,1.09,81.79
3,11,9.22,7.18,3.27,0.37,1.24,68.24
3,12,8.63,6.11,3.86,0.42,1.37,55.88
3,13,6.58,5.46,2.76,0.21,1.45,36.53
3,14,6.8,5.22,3.71,0.39,1.47,36.71
3,15,7.39,5.3,3.64,0.29,1.47,41.34
3,16,6.36,5.22,3.48,0.35,1.48,33.86
3,17,8.2,4.68,3.22,0.29,1.51,44.55
3,18,4.47,5.06,3.4,0.24,1.55,22.76
3,19,5.66,4.9,3.21,0.44,1.64,28.01
3,20,5.5,5.02,3.59,0.43,1.69,27.7
3,21,3.32,4.52,3.13,0.5,1.69,15.72
3,22,4.3,5.65,3.64,0.41,1.65,25.24
3,23,6.31,4.15,2.78,0.36,1.58,28.53
3,24,4.58,5.89,3.11,0.71,1.52,27.82
3,25,4.3,5.99,3.3,0.38,1.51,27.2
3,26,3.38,6.83,2.91,0.61,1.54,29.02
3,27,2.56,6.13,3.14,0.47,1.59,22.05
3,28,2.73,6.09,2.98,0.47,1.62,22.24
3,29,4.03,5.95,3.36,0.38,1.61,25.83
