subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
1,69,0.649715905254445,2.31894635623386,2.82,0.32,1.65,2.68875610154516
1,70,0.00785398159408185,1.95193961534151,3.23,0.33,1.65,1.90503413096979
1,71,3.87055650087029,2.30936306394134,3.02,0.43,1.65,2.66657888054827
1,72,1.87227702485765,2.59202279503978,2.83,0.43,1.65,3.35929108500293
1,73,5.14167211142853,2.11990290360744,2.59,0.32,1.7,2.24699416036163
1,74,2.88994103188567,2.66780774561089,3.5,0.62,1.7,3.55859908377073
1,75,1.71460884169112,2.22466438888718,2.47,1.44,1.7,2.47456582159137
1,76,1.71924645160714,3.02673766759373,2.98,0.21,1.7,4.58057045421536
1,77,1.61673920510836,2.92091927932521,2.62,0.68,1.75,4.26588471816687
1,78,0.564757852723664,3.24222981697547,2.37,0.83,1.75,5.25602709304241
1,79,0.563210977843882,3.02386345687086,2.6,0.35,1.75,4.57187510289949
1,80,0.676368948886988,2.59770507942374,2.51,0.37,1.75,3.37403583983196
1,81,2.81630965634594,3.00136078967932,2.81,1.03,1.8,4.50408329491223
1,82,2.71071860443541,1.55768789035863,3.37,0.25,1.8,1.21319578188496
1,83,1.74695281534659,3.34503840203867,3.04,0.46,1.8,5.59464095555671
1,84,4.45482390797541,2.5121249735432,3,0.49,1.8,3.15538594134971
1,85,3.57360278792814,1.28187424580784,3.13,0.54,1.85,0.821600791032715
1,86,3.52982887695108,2.5368537011528,3.14,0.4,1.85,3.21781335052632
1,87,2.80277015422572,2.6286368851841,3.02,0.08,1.85,3.45486593707517
1,88,4.13285916566931,2.44847401320541,2.64,0.9,1.85,2.9975124966711
1,89,0.192064967728645,3.86062390752467,2.55,0.29,1.9,7.45220847767554
1,90,-1.0958790874405,2.47488657285908,3.55,1.32,1.9,3.06253177425908
1,91,-0.743238466196101,3.5305485606058,2.63,0.84,1.9,6.23238656939785
1,92,-1.22721096068078,3.78940993235723,3.52,0.23,1.9,7.1798138177238
1,93,2.23520362311556,3.24110972083583,3.88,0.38,1.95,5.25239611124825
1,94,0.369727975496213,3.15015592490984,3.74,0.32,1.95,4.96174117562228
1,95,-3.28029025741468,3.55787028166433,2.59,0.51,1.95,6.32922047057512
1,96,-6.2380418376034,8.21434688658363,7.16,0.58,1.95,33.7377473865631
1,97,-0.30344699065099,2.49393606185204,2.98,0.06,2,3.10985854030302
1,98,-0.650072867187279,3.96906825210145,4.32,1.26,2,7.87675139491982
1,99,1.77929588517399,4.66539841950383,4.6,0.45,2,10.8829712063544
1,100,4.12006134419745,3.34257707930629,5.86,0.48,2,5.58641076555187
1,101,0.933842776855977,2.73813553053217,3.73,0.43,2.05,3.74869309178133
1,102,-2.02029297506359,3.80649685106639,3.19,0.9,2.05,7.24470913858917
1,103,-0.162910263190306,2.63291976466147,2.95,1.33,2.05,3.4661332435725
1,104,2.57481794387298,3.18522145099258,4.06,0.4,2.05,5.07281784593165
1,105,-0.930630473900747,5.285924834582,3.62,0.56,2.1,13.9705006784254
1,106,-1.61887981538999,2.67515353628722,2.42,0.26,2.1,3.57822322135502
1,107,0.838304544560162,2.16593556853391,2.88,0.36,2.1,2.34563844352015
1,108,0.541911633763922,3.30766346044976,2.85,0.42,2.1,5.47031878379725
1,109,0.0126139703378614,2.88454172983213,2.7,0.41,2.15,4.16029049557146
1,110,1.29572785657186,2.32771533420156,2.86,0.6,2.15,2.70912933853854
1,111,-0.885300811783694,3.35720972043628,2.68,0.49,2.15,5.63542855349591
1,112,-0.633533588369494,2.53617689060295,2.78,0.66,2.15,3.21609661021423
1,113,-1.39873539847159,2.56035910310343,2.5,2.51,2.2,3.2777193684223
1,114,0.347475734345167,3.59316934358303,1.59,7.11,2.2,6.45543296583246
1,115,2.81714102095502,4.02928336400818,3.46,0.36,2.2,8.11756221373654
1,116,-3.70312499912835,4.97352595803154,4.4,1.54,2.2,12.3679802276068
1,117,-7.22213979907902,1.83904241124823,3.78,0.05,2.25,1.69103849518485
1,118,-7.13520773888257,4.4516288178616,3.02,0.3,2.25,9.90849956600792
1,119,-3.7732107485311,3.6567214286298,4.47,0.11,2.25,6.68580580330019
1,120,2.30865165531073,2.56026888049815,3.21,1.87,2.25,3.27748837022363
1,121,-2.28975541276062,3.60771281055439,3.51,0.59,2.3,6.50779586171913
1,122,-0.0928197171288749,2.66961043957615,4.31,0.4,2.3,3.56340994954697
1,123,2.04668392624201,3.06045823451126,3.16,0.51,2.3,4.68320230259388
1,124,-7.38793855595707,4.66785769308365,4.73,0.42,2.3,10.8944477214401
1,125,-4.63229278875349,2.74200874628583,3.68,0.72,2.35,3.759305982354
1,126,-4.15762436186104,3.09524376575353,3.25,2.04,2.35,4.79026698471804
1,127,-3.04786574691723,4.28822156152549,4.22,0.55,2.35,9.19442208036604
1,128,-3.35624272919938,3.88805024038314,4.36,1.9,2.35,7.55846733587169
1,129,-1.15833433666682,4.23840657885452,5.22,0.9,2.4,8.98204516383863
1,130,-2.58182739359668,4.13286264129817,2.88,0.7,2.4,8.54027680591904
1,131,-3.92283825121562,5.59322871642734,4.6,9.73,2.4,15.6421037371337
1,132,-2.12050348736999,3.45170153519095,3.24,0.19,2.4,5.9571217440198
1,133,-2.84125017354754,3.64695783096227,3.77,3.19,2.45,6.65015071040852
1,134,-7.43876141257409,8.23980671601475,7.79,1.41,2.45,33.9472073586409
1,135,-1.80961667739689,6.95481172838878,5.02,0.47,2.45,24.1847030886671
1,136,-6.95655925232146,9.213143438038,6.87,0.47,2.45,42.4410060049314
1,137,-5.36457088913899,9.50474041088924,4.18,2.34,2.5,45.1700451391955
1,138,-4.13380713904762,3.34136876772213,4.16,1.69,2.5,5.58237262095446
1,139,-4.97624698101213,4.2590974319977,9.18,3.34,2.5,9.0699554676247
1,140,-2.68173483840122,4.91041678617236,6.04,2.12,2.5,12.0560965069617
1,141,0.169931198752017,4.51527935020463,4.99,0.64,2.55,10.1938738051922
1,142,-1.20996232891658,2.50278263700105,4.29,0.23,2.55,3.13196046403698
1,143,-4.59512378672835,4.37220602063105,4,1.11,2.55,9.5580927434212
1,144,-3.62769267188494,3.77997485405736,4.46,1.34,2.55,7.14410494865298
1,145,-5.25089229099461,4.09822062742178,6.52,1.9,2.6,8.39770615551267
1,146,1.02866298665508,3.98322808664118,3.26,0.82,2.6,7.9330529951036
1,147,-5.8201107548428,2.76128263714524,3.77,2.72,2.6,3.81234090109989
1,148,-4.5953605420172,4.72934999174605,7.84,1.49,2.6,11.1833756722142
1,149,-6.90729350241899,4.92755603489404,5.01,2.49,2.65,12.1404042385104
1,150,-11.7720984184506,5.25265269419328,5,0.85,2.65,13.795180162908
1,151,-1.22007361755185,5.51873351483134,4.12,2.02,2.65,15.2282098038613
1,152,-3.64714476556522,6.11134977451311,9.62,0.38,2.65,18.6742980332207
1,153,-6.17215644670683,5.62618543593355,4.06,1.35,2.7,15.8269812797554
1,154,-4.63986824529813,4.86653906559261,4.19,0.94,2.7,11.8416012384695
1,155,-9.29886616371551,4.17824258466194,9.77,1.24,2.7,8.72885554814124
1,156,0.44540868533454,3.69166413938642,5.56,0.45,2.7,6.81419205901585
1,157,-9.33518956608009,4.17837535911578,7.69,0.69,2.75,8.72941032083297
1,158,0.365801115825504,3.98708936817553,4.51,2.48,2.75,7.94844081490916
1,159,-8.38586534521064,4.96841522937475,6.79,0.19,2.75,12.3425749457415
1,160,-3.18248764448101,4.60370762067431,6.16,0.82,2.75,10.5970619283273
1,161,-4.1851134269119,3.3604759921316,7,0.82,2.8,5.64639944684644
1,162,-1.04734097182089,3.62002358894546,4.27,2.07,2.8,6.5522853922608
1,163,0.58153545238665,4.94949703184357,4.84,1.33,2.8,12.2487604341142
1,164,2.32089239983708,3.72712545263771,3.26,4.96,2.8,6.94573206984994
2,1,12.6359545860758,6.79446044737191,4.33,0.23,0.8,23.0823463854506
2,2,15.3527827488151,6.14456553879584,3.76,0.3,0.8,18.8778428302787
2,3,14.0504529848795,6.44666570016249,3.95,0.43,0.8,20.7797493248258
2,4,13.369151476629,5.34201534494122,3.69,0.35,0.8,14.2685639727937
